TUMORKEY	METASTASISKEY	METASTASISORGAN
25134	25136	Liver
25138	25139	Lung
25138	25140	Liver
25143	25144	Lung
25143	25145	Liver
25146	25147	Lung
25146	25148	Liver
25439	25433	Lung
25494	25495	Lung
25496	25497	Lung
25498	25499	Lung
25568	25569	Lung
25568	25570	Lymph node
25574	25575	Lung
25594	25779	Liver
25594	25780	Lung
25598	25783	Lung
25611	25789	Lung
25642	25793	Lung
25642	25795	Liver
25649	25800	Liver
25649	25801	Lung
25650	25802	Lymph node
25653	25804	(Unspecified organ)
25675	25791	Lung
25675	25792	Liver
25677	25803	(Unspecified organ)
25721	25781	Lung
25721	25782	Liver
25724	25788	CNS - Brain
25726	25798	Liver
25726	25799	Uterus
25730	25784	Lung
25732	25794	Liver
25732	25796	Lung
25734	25805	(Unspecified organ)
25735	25786	Pancreas
25735	25787	Testis
25737	25785	Liver
25746	25797	Liver
25767	25790	Lung
25957	25955	Adipose tissue - White
25957	25956	Liver
25957	25958	Skin
26477	26478	Lymph node
26477	26479	Liver
26701	26702	Lymph node
26701	26703	Kidney
26753	1695	Lymph node
26753	1696	Liver
26753	1697	Pancreas
26753	1698	Spleen
26753	1699	Lung
26756	26757	Liver
26756	26758	Kidney
26809	26810	Lung
26822	26823	Skin
26822	26824	Muscle
26822	26825	Peritoneum
27046	27082	(Unspecified organ)
27047	27081	(Unspecified organ)
27225	27226	Lung
27327	27328	Lung
27358	25464	Lung
27359	25465	Lung
27360	8021	Lung
27362	17824	(Unspecified organ)
27362	17825	Intestine
27363	18115	Blood vessel
27363	18116	Pancreas - Duct
27363	18117	Lymph node
27364	23642	Lymph node
27365	23652	CNS - Brain - Brain Stem
27367	23681	Lung
27367	23683	Lymph node
27368	12774	Lymph node
27368	12775	Liver
27368	12776	Lung
27369	10099	Lymph node
27371	4581	Liver
27371	4582	Lung
27371	4583	Ovary
27371	4584	Lymph node
27371	4585	Kidney
27371	4586	Testis
27371	4587	CNS - Brain
27371	4588	Muscle
27371	4589	Bone
27371	4590	Bone marrow
27372	8015	Lung
27372	8016	Kidney
27372	8017	Liver
27372	8018	Spleen
27373	2775	Lung
27374	2749	Lung
27375	2759	Lung
27376	2769	Lung
27377	2739	Lung
27378	1617	Lymph node
27378	1618	Liver
27378	1619	Lung
27378	1620	Spleen
27378	1621	Muscle - Striated - Skeletal - Diaphragm
27378	1622	Stomach - Glandular
27378	1623	Muscle - Striated - Skeletal
27378	1624	Connective tissue
27378	1625	Kidney
27378	1626	Thymus
27378	1627	Thyroid gland
27378	1628	CNS - Brain
27378	1629	Intestine - Small Intestine
27378	1630	Intestine - Large Intestine
27378	1631	Salivary gland
27378	1632	Uterus
27378	1633	Vagina
27378	1634	Heart
27378	1635	Esophagus
27378	1636	Trachea
27378	1637	Adrenal gland
27378	1638	Urinary Bladder
27443	27444	Lung
27448	6397	Lymph node
27448	6398	Adrenal gland
27448	6399	Kidney
27448	6400	Lung
27448	6401	Bone
27448	6402	Thymus
27930	27931	Ureter
27930	27932	Kidney
27930	27933	Renal pelvis
27936	27937	Spleen
27936	27938	Thymus
27936	27939	Salivary gland
27936	27940	Neck
27936	27941	Peritoneum - Mesentery
27936	27942	Mediastinum
27943	27944	Liver
27943	27945	Spleen
27943	27946	Subcutis
27943	27947	Pancreas
27948	27949	Liver
27948	27950	Spleen
27948	27951	Pancreas
28070	28071	Liver
28070	28072	Adrenal gland - Cortex
28070	28073	Lung
28070	28074	Lymph node - peripancreatic
28070	28075	Blood vessel
28070	28076	Nerve
28070	28077	Muscle - Striated - Skeletal - Diaphragm
28121	28122	Liver
28121	28123	Lymph node - mesentery
28126	28127	Liver
28126	28128	Lymph node - mesentery
28126	28129	Muscle - Striated - Skeletal - Diaphragm - Serosa
28135	28136	Liver
28137	28138	Liver
28191	28195	Intestine - Small Intestine
28230	28231	Lung
28232	28235	Lung
28232	28236	Liver
28232	28237	Uterus
28243	28244	Lung
28403	28404	Lung
28415	28416	(Unspecified organ)
28440	28441	Lung
28440	28442	Lymph node
28444	28445	Lung
28444	28446	Lymph node
28540	28541	Lung
28552	28553	Lung
28573	28574	Lung
28579	28580	Lung
28584	28585	Lung
28588	28589	Kidney
28594	28595	Lung
28596	28597	CNS - Brain
28602	28603	CNS - Brain
28605	28606	CNS - Brain
28675	28679	Lymph node
28675	28680	Lung - Alveolus
28675	28681	Bone
28783	28784	Lung
28829	28830	Lung
28829	28831	Spleen
28837	28838	Muscle
28837	28839	Pericardium
28837	28840	Spleen
28837	28841	Liver
28837	28842	Kidney
29055	28248	Abdominal cavity
29056	28253	Abdominal cavity
29057	28215	Uterus
29057	28216	Uterus - Cervix
29058	28217	Oviduct
29059	28211	Seminal vesicle
29059	28212	Vas deferens
29059	28213	Epididymis
29059	28214	Prostate gland - anterior lobe
29092	29093	Lymph node
29094	29095	Lymph node
29096	29097	Lymph node
29098	29099	Lymph node
29211	27755	Lung
29211	27756	Lung
29212	29210	CNS - Spinal cord
29212	29213	Lymph node
29212	29214	CNS - Brain
29212	29215	Peyer's patch
29216	29217	Epididymis
